"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVK","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.913139031,
"SVK","QGDP","TOT","PC_CHGPP","Q","2018-Q2",1.183384768,
"SVK","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.996243742,
"SVK","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.511058092,
"SVK","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.763490951,
"SVK","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.295614779,
"SVK","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.348175614,
"SVK","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.622021234,
"SVK","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.136135931,
"SVK","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.458775208,
"SVK","QGDP","TOT","PC_CHGPP","Q","2020-Q3",9.693582241,
"SVK","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.767040091,
"SVK","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.141763997,
"SVK","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.715677961,
"SVK","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.621639305,
"SVK","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.466616729,
"SVK","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.249783611,
"SVK","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.164422212,
"SVK","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.281303604,
"SVK","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.251131556,
